2026-03-03 20:51:55 | INFO | src.train | Logging to /Users/stro/ece_capstone/checkpoints/training.log
2026-03-03 20:51:55 | INFO | src.train | Saved label encoder to /Users/stro/ece_capstone/checkpoints/label_encoder.json
2026-03-03 20:51:55 | INFO | src.train | Using GroupKFold with 2 folds
2026-03-03 20:51:55 | INFO | src.train | === Fold 1/2 — held-out: 15 videos ===
2026-03-03 20:51:55 | INFO | src.train | Train: 2457 samples (15 videos), Val: 2467 samples (15 videos)
2026-03-03 20:52:10 | INFO | src.train | Fold 1 [15 videos] — val_accuracy: 0.9846, val_loss: 0.0603
2026-03-03 20:52:10 | INFO | src.train | === Fold 2/2 — held-out: 15 videos ===
2026-03-03 20:52:10 | INFO | src.train | Train: 2467 samples (15 videos), Val: 2457 samples (15 videos)
2026-03-03 20:52:15 | INFO | src.train | Fold 2 [15 videos] — val_accuracy: 1.0000, val_loss: 0.0003
2026-03-03 20:52:15 | INFO | src.train | === 2-Fold Results ===
2026-03-03 20:52:15 | INFO | src.train |   Fold 1 (15 videos): val_accuracy=0.9846
2026-03-03 20:52:15 | INFO | src.train |   Fold 2 (15 videos): val_accuracy=1.0000
2026-03-03 20:52:15 | INFO | src.train |   Mean: 0.9923, Std: 0.0077
2026-03-03 20:52:15 | INFO | src.train | Saved CV results to /Users/stro/ece_capstone/checkpoints/cv_results.json
2026-03-03 20:52:15 | INFO | src.train | Saved per-frame predictions to /Users/stro/ece_capstone/checkpoints/cv_predictions.npz
2026-03-03 20:52:15 | INFO | src.train | === Training final model on all data ===
2026-03-03 20:52:39 | INFO | src.train | Saved final model to /Users/stro/ece_capstone/checkpoints/best_model.keras
2026-03-03 20:53:25 | INFO | src.train | Logging to /Users/stro/ece_capstone/checkpoints/training.log
2026-03-03 20:53:25 | INFO | src.train | Saved label encoder to /Users/stro/ece_capstone/checkpoints/label_encoder.json
2026-03-03 20:53:25 | INFO | src.train | Using Leave-One-Video-Out (30 folds)
2026-03-03 20:53:25 | INFO | src.train | === Fold 1/30 — held-out: Lying01.mp4 ===
2026-03-03 20:53:25 | INFO | src.train | Train: 4741 samples (29 videos), Val: 183 samples (1 videos)
2026-03-03 20:53:34 | INFO | src.train | Fold 1 [Lying01.mp4] — val_accuracy: 1.0000, val_loss: 0.0001
2026-03-03 20:53:34 | INFO | src.train | === Fold 2/30 — held-out: Lying01dupe.mp4 ===
2026-03-03 20:53:34 | INFO | src.train | Train: 4741 samples (29 videos), Val: 183 samples (1 videos)
2026-03-03 20:53:42 | INFO | src.train | Fold 2 [Lying01dupe.mp4] — val_accuracy: 1.0000, val_loss: 0.0000
2026-03-03 20:53:42 | INFO | src.train | === Fold 3/30 — held-out: Lying02.mp4 ===
2026-03-03 20:53:42 | INFO | src.train | Train: 4738 samples (29 videos), Val: 186 samples (1 videos)
